Resolution,time,x,y
200,0,0,0
200,200,0,0
200,400,0,0
200,600,0,0
200,800,0,0
200,1000,0,0
200,1200,0,0
200,1400,0,0
200,1600,0,0
200,1800,0,0
200,2000,0,0
200,2200,0,0
200,2400,0,0
200,2600,0,0
200,2800,0,0
200,3000,0,0
200,3200,0,0
200,3400,0,0
200,3600,0,0
200,3800,0,0
200,4000,0,0
200,4200,0,0
200,4400,0,0
200,4600,0,0
200,4800,0,0
200,5000,0,0
200,5200,0,0
200,5400,0,0
200,5600,0,0
200,5800,0,0
200,6000,0,0
200,6200,0,0
200,6400,0,0
200,6600,0,0
200,6800,0,0
200,7000,0,0
200,7200,0,0
200,7400,0,0
200,7600,0,0
200,7800,0,0
200,8000,0,0
200,8200,0,0
200,8400,0,0
200,8600,0,0
200,8800,0,0
200,9000,0,0
200,9200,0,0
200,9400,0,0
200,9600,0,0
200,9800,0,0
200,10000,0,0
200,10200,0,0
200,10400,34.351806640625,-28.07861328125
200,10600,-32.470703125,-28.07861328125
200,10800,-32.470703125,-28.07861328125
200,11000,-32.470703125,-28.07861328125
200,11200,-32.470703125,-28.07861328125
200,11400,-32.470703125,-28.07861328125
200,11600,-32.470703125,-28.07861328125
200,11800,-32.470703125,-28.07861328125
200,12000,-32.470703125,-28.07861328125
200,12200,-32.470703125,-28.07861328125
200,12400,-32.470703125,-28.07861328125
200,12600,-32.470703125,-28.07861328125
200,12800,-32.470703125,-28.07861328125
200,13000,-32.470703125,-28.07861328125
200,13200,-32.470703125,-28.07861328125
200,13400,-32.470703125,-28.07861328125
200,13600,-32.470703125,-28.07861328125
200,13800,-32.470703125,-28.07861328125
200,14000,-32.470703125,-28.07861328125
200,14200,-32.470703125,-28.07861328125
200,14400,-32.470703125,-28.07861328125
200,14600,-32.470703125,-28.07861328125
200,14800,-32.470703125,-28.07861328125
200,15000,-32.470703125,-28.07861328125
200,15200,-32.470703125,-28.07861328125
200,15400,-32.470703125,-28.07861328125
200,15600,-32.470703125,-28.07861328125
200,15800,-32.470703125,-28.07861328125
200,16000,-29.33349609375,-28.07861328125
200,16200,30.2734375,-30.58837890625
200,16400,-27.137451171875,32.783203125
200,16600,15.84228515625,-40.0
200,16800,39.998779296875,-40.0
200,17000,39.998779296875,-40.0
200,17200,39.998779296875,-40.0
200,17400,39.998779296875,-40.0
200,17600,39.998779296875,-40.0
200,17800,39.998779296875,-40.0
200,18000,39.998779296875,-40.0
200,18200,39.998779296875,-40.0
200,18400,39.998779296875,-40.0
200,18600,39.998779296875,-40.0
200,18800,6.116943359375,-40.0
200,19000,39.998779296875,-9.8828125
200,19200,39.998779296875,-4.23583984375
200,19400,39.998779296875,-4.23583984375
200,19600,39.998779296875,-4.23583984375
200,19800,39.998779296875,-4.23583984375
200,20000,39.998779296875,-4.23583984375
200,20200,39.998779296875,-5.49072265625
200,20400,39.998779296875,-5.49072265625
200,20600,39.998779296875,-5.49072265625
200,20800,39.998779296875,-8.314208984375
200,21000,-6.1181640625,-40.0
200,21200,-27.137451171875,-33.09814453125
200,21400,-40.0,-10.823974609375
200,21600,-40.0,4.862060546875
200,21800,-28.392333984375,34.351806640625
